epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17245,1.59444,2.72402,1.60696,0.01613,1,0.995,0.398,2.0491,2.47246,1.40548,0,0,0
2,2.2963,1.65177,2.67207,1.59685,0.01562,1,0.995,0.398,2.13972,2.4465,1.39507,1.901e-05,1.901e-05,1.901e-05
3,3.33251,1.61803,2.80507,1.66283,0.01587,1,0.995,0.398,1.97732,2.54577,1.41966,3.604e-05,3.604e-05,3.604e-05
4,4.32679,1.45879,2.80897,1.49452,0.01538,1,0.995,0.4975,1.74072,2.53481,1.31687,5.109e-05,5.109e-05,5.109e-05
5,5.38909,1.48025,2.77718,1.47904,0.01587,1,0.995,0.597,1.50876,2.48855,1.20997,6.416e-05,6.416e-05,6.416e-05
6,6.42174,1.51258,2.61019,1.6004,0.01538,1,0.995,0.6965,1.36724,2.31863,1.06346,7.525e-05,7.525e-05,7.525e-05
7,7.42289,1.34274,2.68666,1.23323,0.01471,1,0.995,0.796,1.11203,2.29359,1.01822,8.436e-05,8.436e-05,8.436e-05
8,8.49193,1.05703,2.44972,1.17745,0.01515,1,0.995,0.796,0.98444,2.28336,0.99908,9.149e-05,9.149e-05,9.149e-05
9,9.52481,1.82058,2.54191,1.61978,0.01538,1,0.995,0.8955,0.82862,2.27009,0.96722,9.664e-05,9.664e-05,9.664e-05
10,10.5263,1.37515,2.47562,1.43898,0.01538,1,0.995,0.8955,0.67043,2.25538,0.93426,9.981e-05,9.981e-05,9.981e-05
11,11.5537,1.43584,2.24293,1.35828,0.01562,1,0.995,0.8955,0.52525,2.24316,0.93083,0.000101,0.000101,0.000101
12,12.5829,1.41332,1.84116,1.32162,0.01515,1,0.995,0.8955,0.5977,2.22219,0.9436,0.00010021,0.00010021,0.00010021
13,13.5811,1.03413,1.59524,1.08991,0.01429,1,0.995,0.8955,0.58212,2.20331,0.94923,9.744e-05,9.744e-05,9.744e-05
14,14.5525,1.10612,1.37524,1.15657,0.0137,1,0.995,0.8955,0.57668,2.18034,0.96054,9.269e-05,9.269e-05,9.269e-05
15,15.6542,1.03037,1.49286,1.22326,0.01408,1,0.995,0.8955,0.59807,2.15126,0.97001,8.596e-05,8.596e-05,8.596e-05
16,16.7043,1.22876,1.23628,1.16085,0.01408,1,0.995,0.8955,0.62802,2.12595,0.97701,7.725e-05,7.725e-05,7.725e-05
17,17.6995,0.91093,1.35282,1.17685,0.01351,1,0.995,0.796,0.68934,2.10346,0.98424,6.656e-05,6.656e-05,6.656e-05
18,18.6419,0.96552,1.07246,0.99029,0.01351,1,0.995,0.796,0.68934,2.10346,0.98424,5.389e-05,5.389e-05,5.389e-05
19,19.679,1.08148,1.36974,1.02569,0.01299,1,0.995,0.8955,0.68979,2.08611,0.98989,3.924e-05,3.924e-05,3.924e-05
20,20.606,0.88552,1.16428,1.04387,0.01299,1,0.995,0.8955,0.68979,2.08611,0.98989,2.261e-05,2.261e-05,2.261e-05
